plot;abbr;layer;cov;comment;voucher;history
kb09;fagu sylv;tl1;4;;;
kb09;frax exce;tl1;2b;;;
kb09;quer robu;tl1;2a;;;
kb09;acer plat;tl2;1;;;
kb09;fagu sylv;tl2;2b;;;
kb09;frax exce;tl2;2a;;;
kb10;acer plat;hl;+;;;
kb10;acer pseu;hl;+;;;
kb10;anem nemo;hl;+;;;
kb10;anth ramo;hl;r;;;
kb10;apos foet;hl;+;;;
kb10;cala vari;hl;2b;;;
kb10;camp rapu rapu;hl;+;;;
kb10;camp trac;hl;+;;;
kb10;care mont;hl;4;;;
kb10;carp betu;hl;+;;;
kb10;ceph dama;hl;r;;;
kb10;ceph long;hl;+;;;
kb10;conv maja maja;hl;1;;;
kb10;corn sang slat;hl;+;;;
kb10;cory avel;hl;+;;;
kb10;coto inte;hl;r;;;
kb10;cycl purp;hl;1;;;
kb10;euph amyg amyg;hl;+;;;
kb10;euph dulc dulc;hl;+;;;
kb10;fagu sylv;hl;+;;;
kb10;fest hete ylla;hl;+;;;
kb10;frax exce;hl;+;;;
kb10;gali sylv;hl;1;;;
kb10;hede heli;hl;+;;;
kb10;hepa nobi;hl;1;;;
kb10;hier saba;hl;r;;;
kb10;jugl regi;hl;+;;;
kb10;lase lati lati;hl;r;;;
kb10;lath nige;hl;+;2014-0101;;
kb10;ligu vulg;hl;1;;;
kb10;lili mart;hl;+;;;
kb10;meli nuta;hl;+;;;
kb10;merc pere;hl;+;;;
kb10;orig vulg;hl;+;;;
kb10;pren purp;hl;+;;;
kb10;quer robu;hl;+;;;
kb10;rham cath;hl;r;;;
kb10;rosa arve;hl;2a;;;
kb10;sorb aria;hl;+;;;
kb10;sorb aucu aucu;hl;+;;;
kb10;taxu bacc;hl;+;;;
kb10;tili ✕eur;hl;+;cf.;;
kb10;vibu lant;hl;+;;;
kb10;vinc hiru;hl;+;;;
kb10;viol alba slat;hl;r;2014-0105;;
kb10;viol reic;hl;+;;;
kb10;viol rivi;hl;+;;;
kb10;berb vulg;sl;+;;;
kb10;carp betu;sl;+;;;
kb10;corn sang slat;sl;1;;;
kb10;cory avel;sl;1;;;
kb10;crat laev laev;sl;1;;;
kb10;fagu sylv;sl;1;;;
kb10;frax exce;sl;+;;;
kb10;ligu vulg;sl;+;;;
kb10;pice abie;sl;1;;;
kb10;rosa arve;sl;+;;;
kb10;sorb aucu aucu;sl;+;;;
kb10;taxu bacc;sl;1;;;
kb10;vibu lant;sl;+;;;
kb10;acer plat;tl1;2a;;;
kb10;frax exce;tl1;2b;;;
kb10;quer robu;tl1;3;;;
kb10;carp betu;tl2;2b;;;
kb10;fagu sylv;tl2;2b;;;
kb10;frax exce;tl2;2b;;;
kb10;pice abie;tl2;1;;;
