"plot";"pls";"cov";"tcov";"scov";"hcov";"mcov";"htl";"hsl";"hhl";"expo";"slope";"longitude";"latitude";"elevation";"date";"association";"alliance";"location"
58;500;90;75;40;35;0;20;4;50;"O";35;"13.275000";"47.686389";1370;"2008-08-07";"Saxifrago rotundifoliae-Fagetum Zukrigl 1989 -Subass.-Gruppe mit Adenostyles alliariae";"Lonicero alpigenae-Fagenion Borhidi ex Soó 1964";"Mischwald am Bergköpfl-O-Abhang"
59;500;95;90;5;20;0;25;3;50;"W";35;"13.172222";"47.725556";700;"2008-08-10";"Cardamino trifoliae-Fagetum Oberd. 1987 – asaretosum";"Lonicero alpigenae-Fagenion Borhidi ex Soó 1964";"Eib-Bu Wald W & O Seikmannbach"
60;500;95;90;0;5;0;25;0;60;"NO";30;"13.188889";"47.694444";1010;"2008-08-10";"Cardamino trifoliae-Fagetum Oberd. 1987 – asaretosum";"Lonicero alpigenae-Fagenion Borhidi ex Soó 1964";"Fi-Ta-Bu Wald Untergraben"
61;500;90;85;0;45;0;15;0;50;"SO";20;"13.245556";"47.722778";1435;"2008-08-11";"Saxifrago rotundifoliae-Fagetum Zukrigl 1989 -Subass.-Gruppe mit Carex ferruginea";"Lonicero alpigenae-Fagenion Borhidi ex Soó 1964";"Buchenwald am Anzenberg"
62;500;85;65;0;55;0;20;0;80;"S";20;"13.231944";"47.721389";1380;"2008-08-11";"Saxifrago rotundifoliae-Fagetum Zukrigl 1989 -Subass.-Gruppe mit Carex ferruginea";"Lonicero alpigenae-Fagenion Borhidi ex Soó 1964";"Fichten-Tannen-Buchenwald S Wieserhörndl"
63;500;85;55;2;70;0;15;2;100;"NW";30;"13.228056";"47.730000";1220;"2008-08-12";"Saxifrago rotundifoliae-Fagetum Zukrigl 1989 -Subass.-Gruppe mit Carex ferruginea";"Lonicero alpigenae-Fagenion Borhidi ex Soó 1964";"Bu-Ta Wald O Grünaualm"
64;500;90;80;5;80;0;20;2;100;"O";25;"13.224167";"47.727778";1200;"2008-08-12";"Saxifrago rotundifoliae-Fagetum Zukrigl 1989 -Subass.-Gruppe mit Adenostyles alliariae";"Lonicero alpigenae-Fagenion Borhidi ex Soó 1964";"Bu-Ta Wald S Grünaualm"
65;500;95;90;0;40;1;18;0;100;"O";30;"13.221111";"47.728889";1170;"2008-08-12";"Saxifrago rotundifoliae-Fagetum Zukrigl 1989 -Subass.-Gruppe mit Adenostyles alliariae";"Lonicero alpigenae-Fagenion Borhidi ex Soó 1964";"Bu-Ta Wald am Spielberg"
66;500;90;70;2;60;1;18;2;100;"O";35;"13.216667";"47.733333";1380;"2008-08-12";"Saxifrago rotundifoliae-Fagetum Zukrigl 1989 -Subass.-Gruppe mit Carex ferruginea";"Lonicero alpigenae-Fagenion Borhidi ex Soó 1964";"Bu-Ta Wald am Kallersberg"
67;500;95;75;34;70;0;25;5;70;"O";35;"13.276389";"47.691111";1350;"2008-08-19";"Saxifrago rotundifoliae-Fagetum Zukrigl 1989 -Subass.-Gruppe mit Adenostyles alliariae";"Lonicero alpigenae-Fagenion Borhidi ex Soó 1964";"Fichten-Tannen-Buchenwald am Auhofköpfl"
68;500;90;80;1;40;2;18;2;60;"S";20;"13.230000";"47.681944";1470;"2008-08-21";"Saxifrago rotundifoliae-Fagetum Zukrigl 1989 -Subass.-Gruppe mit Adenostyles alliariae";"Lonicero alpigenae-Fagenion Borhidi ex Soó 1964";"Buchenwald 2 NO Nigelkar-Alpe"
69;500;90;85;0;35;5;15;0;40;"SO";10;"13.220000";"47.677500";1380;"2008-08-21";"Saxifrago rotundifoliae-Fagetum Zukrigl 1989 -Subass.-Gruppe mit Carex ferruginea";"Lonicero alpigenae-Fagenion Borhidi ex Soó 1964";"Buchenwald 1 NO Nigelkar-Alpe"
70;500;90;65;15;60;1;13;4;100;"S";25;"13.215833";"47.676944";1350;"2008-08-21";"Saxifrago rotundifoliae-Fagetum Zukrigl 1989 -Subass.-Gruppe mit Carex ferruginea";"Lonicero alpigenae-Fagenion Borhidi ex Soó 1964";"Buchenwald NW Nigelkar-Alpe"
71;500;95;85;1;60;1;20;2;60;"N";25;"13.246944";"47.686389";1330;"2008-08-22";"Saxifrago rotundifoliae-Fagetum Zukrigl 1989 -Subass.-Gruppe mit Adenostyles alliariae";"Lonicero alpigenae-Fagenion Borhidi ex Soó 1964";"Fichten-Tannen-Buchenwald W Sattelalm"
