plot;variable;value
Morton1950:1330;bare;0
Morton1950:1330;soil;
Morton1950:1330;date;27.08.1949
Morton1950:1330;altitude;1360
Morton1950:1330;precision.vertical;50
Morton1950:1330;precision.horizontal;200
Morton1950:1330;longitude;13,69882
Morton1950:1330;latitude;47,64837
Morton1950:1330;comment;Nr. 1330
Morton1950:1330;location;Leislingwand
Morton1950:1344;cov;10
Morton1950:1344;tcov1;0
Morton1950:1344;scov;10
Morton1950:1344;hcov;10
Morton1950:1344;mcov;1
Morton1950:1344;htl1;0
Morton1950:1344;htl2;0
Morton1950:1344;hsl;2
Morton1950:1344;hhl1;0
Morton1950:1344;hhl2;0
Morton1950:1344;plsx;20
Morton1950:1344;plsy;20
Morton1950:1344;expo;S
Morton1950:1344;slope;80
Morton1950:1344;rock;0
Morton1950:1344;stones;0
Morton1950:1344;bare;0
Morton1950:1344;soil;
Morton1950:1344;date;05.09.1949
Morton1950:1344;altitude;1100
Morton1950:1344;precision.vertical;50
Morton1950:1344;precision.horizontal;200
Morton1950:1344;longitude;14,065879
Morton1950:1344;latitude;47,538026
Morton1950:1344;comment;Nr. 1344
Morton1950:1344;location;Südwand des Brandanger Kogels
Morton1950:1344a;cov;10
Morton1950:1344a;tcov1;0
Morton1950:1344a;scov;5
Morton1950:1344a;hcov;10
Morton1950:1344a;mcov;0
Morton1950:1344a;htl1;0
Morton1950:1344a;htl2;0
Morton1950:1344a;hsl;4
Morton1950:1344a;hhl1;0
Morton1950:1344a;hhl2;0
Morton1950:1344a;plsx;20
Morton1950:1344a;plsy;20
Morton1950:1344a;expo;S
Morton1950:1344a;slope;50
Morton1950:1344a;rock;0
Morton1950:1344a;stones;0
Morton1950:1344a;bare;0
Morton1950:1344a;soil;
Morton1950:1344a;date;22.09.1949
Morton1950:1344a;altitude;1100
Morton1950:1344a;precision.vertical;50
Morton1950:1344a;precision.horizontal;200
Morton1950:1344a;longitude;14,06593
Morton1950:1344a;latitude;47,537963
Morton1950:1344a;comment;Nr. 1344a
Morton1950:1344a;location;Fuß der Südwand des Brandanger Kogels
Morton1950:1345;cov;10
Morton1950:1345;tcov1;0
Morton1950:1345;scov;5
Morton1950:1345;hcov;10
Morton1950:1345;mcov;0
Morton1950:1345;htl1;0
Morton1950:1345;htl2;0
Morton1950:1345;hsl;0
Morton1950:1345;hhl1;0
Morton1950:1345;hhl2;0
Morton1950:1345;plsx;20
Morton1950:1345;plsy;20
Morton1950:1345;expo;S
Morton1950:1345;slope;25
Morton1950:1345;rock;0
Morton1950:1345;stones;0
Morton1950:1345;bare;0
Morton1950:1345;soil;
Morton1950:1345;date;22.09.1949
Morton1950:1345;altitude;1100
Morton1950:1345;precision.vertical;50
Morton1950:1345;precision.horizontal;200
Morton1950:1345;longitude;14,064903
Morton1950:1345;latitude;47,538608
Morton1950:1345;comment;Nr. 1345
Morton1950:1345;location;Rote Wand nordwestlich Südwand des Brandanger Kogels
Morton1950:2/49;cov;10
Morton1950:2/49;tcov1;0
Morton1950:2/49;scov;0
