plot,abbr,layer,cover,voucher,comment,history
sf09,dryo fili,hl,r,,,
sf09,eupa cann,hl,2b,,,
sf09,euph amyg amyg,hl,+,,,
sf09,fagu sylv,hl,+,,,
sf09,frax exce,hl,1,,,
sf09,gale flav,hl,2a,,,
sf09,gale mont,hl,+,,,
sf09,gali albu,hl,1,,,
sf09,gali moll,hl,1,cf.,,
sf09,gali sylv,hl,+,,,
sf09,gera robe,hl,+,,,
sf09,hede heli,hl,+,,,
sf09,hepa nobi,hl,+,,,
sf09,lact mura,hl,+,,,
sf09,moeh musc,hl,1,,,
sf09,neot nidu,hl,r,,,
sf09,poly acul,hl,r,,,
sf09,rosa arve,hl,+,,,
sf09,salv glut,hl,1,,,
sf09,soli virg virg,hl,r,,,
sf09,stap pinn,hl,+,,,
sf09,teuc cham,hl,+,,,
sf09,tili plat,hl,+,,,
sf09,vinc hiru,hl,1,,,
sf09,cory avel,sl,+,,,
sf09,frax exce,sl,+,,,
sf09,stap pinn,sl,+,,,
sf09,tili plat,sl,+,,,
sf09,tili plat,tl1,4,,,
sf09,visc albu,tl1,+,,,
sf09,acer pseu,tl2,2b,,,
sf09,fagu sylv,tl2,2b,,,
sf09,frax exce,tl2,1,,,
sf09,hede heli,tl2,+,,,
sf09,tili plat,tl2,2b,,,
sf09,visc albu,tl2,+,,,
sf10,amel oval,hl,+,,,
sf10,anth ramo,hl,r,,,
sf10,aspl ruta,hl,+,,,
sf10,aspl tric quad,hl,+,,,
sf10,buph sali,hl,1,,,
sf10,cala vari,hl,1,,,
sf10,card defl viri,hl,+,,,
sf10,care alba,hl,+,,,
sf10,care digi,hl,+,,,
sf10,care humi,hl,2b,,,
sf10,care mont,hl,+,,,
sf10,ceph long,hl,+,,,
sf10,conv maja maja,hl,1,,,
sf10,corn sang slat,hl,+,,,
sf10,coto tome,hl,+,,,
sf10,cycl purp,hl,+,,,
sf10,dryo fili,hl,r,,,
sf10,epip atro,hl,+,,,
sf10,eric carn,hl,3,,,
sf10,fagu sylv,hl,+,,,
sf10,frag vesc,hl,+,,,
sf10,fran alnu,hl,+,,,
sf10,frax exce,hl,+,,,
sf10,gali sylv,hl,1,,,
sf10,hepa nobi,hl,+,,,
sf10,hier muro,hl,+,,,
sf10,hier saba,hl,r,,,
sf10,hype mont,hl,+,,,
sf10,lase lati lati,hl,+,,,
sf10,lath prat prat,hl,r,,,
sf10,ligu vulg,hl,+,,,
sf10,loni xylo,hl,+,,,
sf10,mela nemo,hl,r,cf.,,
sf10,mela sylv,hl,+,,,
sf10,meli nuta,hl,+,,,
sf10,merc pere,hl,+,,,
sf10,orig vulg,hl,+,,,
sf10,poly cham,hl,2m,,,
sf10,poly odor,hl,r,,,
sf10,pote erec,hl,+,,,
sf10,pren purp,hl,+,,,
sf10,quer petr,hl,+,,,
sf10,rham cath,hl,+,,,
sf10,rosa micr,hl,+,,,
sf10,rosa pend,hl,1,,,
sf10,rubu saxa,hl,+,,,
sf10,rubu sect rubu,hl,r,,,
sf10,salv glut,hl,+,,,
sf10,soli virg virg,hl,+,,,
sf10,sorb aria,hl,+,,,
sf10,sorb aucu aucu,hl,+,,,
