plot;abbr;typical.sample;physiognomy;soil;soil.depth;soil.comment;snowmelt;moisture;comment;cov;tcov1;tcov2;scov;hcov;mcov;htl1;htl2;hsl;hhl1;hhl2;plsx;plsy;expo;slope;rock;stones;bare;date;altitude;precision.vertical;precision.horizontal;latitude;longitude
wf01;ses car sem;;;;;;early;;;100;0;0;0;99;2;0;0;0;0,4;0,05;4;4;N;15;0;0;0;2011-08-14;2217;9,1;5,4;47.219640N;13.461118E
wf02;hom dis loi;;;Moder-Rendzina;shallow;;intermediate;;;100;0;0;0;80;45;0;0;0;0,2;0,05;4;4;NE;5;0;0;0;2011-08-14;2223;6,1;4;47.219674N;13.461446E
wf03;cre ter;;;Syrosem;very shallow;;early;;;15;0;0;0;15;1;0;0;0;0,25;0,05;4;4;NW;35;0;85;0;2011-08-14;2218;9,1;7,2;47.219440N;13.461054E
wf04;car fir;;;Rendzina;;;intermediate;;;96;0;0;0;85;15;0;0;0;0,25;0,05;4;4;N;40;2;1;1;2011-08-14;2220;9,2;7,4;47.219450N;13.460925E
wf05;car fir vul tub;;;Proto-Rendzina;shallow;Streifenboden;late;;;40;0;0;0;40;45;0;0;0;0,1;0,05;4;4;NE;25;5;54;1;2011-08-14;2230;9,9;7,8;47.219373N;13.461398E
wf06;car fir;;;Rendzina;shallow;;early;;;99;0;0;0;95;10;0;0;0;0,2;0,07;4;4;N;20;0;0;1;2011-08-14;2217;9,4;7,5;47.219538N;13.461511E
wf07;ran ges thl rot;;;Syrosem;very shallow;;late;;;5;0;0;0;4;2;0;0;0;0,05;0,03;4;4;NE;20;95;0;0;2011-08-14;2233;11,1;5,4;47.219267N;13.460971E
wf08;car fir vul tub;;;Rendzina;shallow;;late;;;75;0;0;0;65;15;0;0;0;0,1;0,05;4;4;SE;30;15;10;0;2011-08-14;2237;15,5;6,7;47.219221N;13.461208E
wf09;ses car sem fes nor;yes;;;;;early;;;100;0;0;0;99;1;0;0;0;0,35;0,05;4;4;E;25;0;0;0;2011-08-14;2223;5,3;3,5;47.219328N;13.461709E
wf10;ses car sem fes nor;;;;;;intermediate;;cf. ses car sem fes pul;97;0;0;0;80;55;0;0;0;0,3;0,1;4;4;N;15;2;0;1;2011-08-14;2227;7,8;4,4;47.219075N;13.461537E
wf11;hom dis loi;;;Moder-Rendzina;intermediate;;early;;;93;0;0;0;90;5;0;0;0;0,2;0,05;4;4;NE;15;5;0;2;2011-08-14;2239;5;12,7;47.218900N;13.461510E
wf12;ses car sem;;;;;;early;;;94;0;0;0;90;10;0;0;0;0,25;0,1;4;4;NE;20;5;0;1;2011-08-14;2253;13;8,3;47.219023N;13.461367E
wf13;des ces poe alp;;;;;;intermediate;;;100;0;0;0;99;2;0;0;0;0,5;0,1;4;4;F;0;0;0;0;2011-08-14;2204;11,4;7,6;47.221611N;13.462066E
